person,wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00306.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00114.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00490.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00205.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00162.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00312.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00043.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00066.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00313.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00045.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00299.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00152.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00366.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00448.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00131.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00083.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00049.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00022.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00440.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00065.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00053.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00257.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00444.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00271.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00486.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00062.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00056.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00088.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00248.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00304.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00475.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00353.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00243.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00392.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00365.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00351.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00480.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00401.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00292.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00246.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00352.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00281.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00339.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00210.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00181.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00442.wav
Mohammad_Ali,/tmp/speaker_recog/audio_files/Mohammad_Ali/00017.wav
